Station;Ligne;Corresp. 1;Corresp. 2;Corresp. 3;Sens;Terminus 1;Terminus 2;Lat;Lon;Geopoint;Geopoint2;
Eugenia;3;0;0;0;14;Indios Verdes;Universidad;19.38628539;-99.15724397;19.38628539,-99.15724397;-99.15724397,19.38628539;
Guerrero;3;12;0;0;6;Indios Verdes;Universidad;19.44522682;-99.1463542;19.44522682,-99.1463542;-99.1463542,19.44522682;
Hidalgo;3;2;0;0;7;Indios Verdes;Universidad;19.43674867;-99.14681554;19.43674867,-99.14681554;-99.14681554,19.43674867;
Hospital General;3;0;0;0;11;Indios Verdes;Universidad;19.41369961;-99.1531992;19.41369961,-99.1531992;-99.1531992,19.41369961;
Indios Verdes;3;0;0;0;1;Indios Verdes;Universidad;19.495315;-99.119141;19.495315,-99.119141;-99.119141,19.495315;
Juárez;3;0;0;0;8;Indios Verdes;Universidad;19.43336942;-99.14771676;19.43336942,-99.14771676;-99.14771676,19.43336942;
La Raza;3;5;0;0;4;Indios Verdes;Universidad;19.468965;-99.136176;19.468965,-99.136176;-99.136176,19.468965;
Miguel Ángel de Quevedo;3;0;0;0;19;Indios Verdes;Universidad;19.34651696;-99.18053627;19.34651696,-99.18053627;-99.18053627,19.34651696;
Niños Héroes;3;0;0;0;10;Indios Verdes;Universidad;19.41946724;-99.15023804;19.41946724,-99.15023804;-99.15023804,19.41946724;
Potrero;3;0;0;0;3;Indios Verdes;Universidad;19.476413;-99.131748;19.476413,-99.131748;-99.131748,19.476413;
Tlatelolco;3;0;0;0;5;Indios Verdes;Universidad;19.45520174;-99.1430819;19.45520174,-99.1430819;-99.1430819,19.45520174;
Universidad;3;0;0;0;21;Indios Verdes;Universidad;19.32433595;-99.17407751;19.32433595,-99.17407751;-99.17407751,19.32433595;
Viveros;3;0;0;0;18;Indios Verdes;Universidad;19.35376487;-99.17542934;19.35376487,-99.17542934;-99.17542934,19.35376487;
Zapata;3;10;0;0;16;Indios Verdes;Universidad;19.37073951;-99.1645503;19.37073951,-99.1645503;-99.1645503,19.37073951;
Bondojito;4;0;0;0;3;Martín Carrera;Santa Anita;19.46450842;-99.1117537;19.46450842,-99.1117537;-99.1117537,19.46450842;
Canal del Norte;4;0;0;0;5;Martín Carrera;Santa Anita;19.44866652;-99.11589503;19.44866652,-99.11589503;-99.11589503,19.44866652;
Candelaria;4;1;0;0;7;Martín Carrera;Santa Anita;19.42917056;-99.11890984;19.42917056,-99.11890984;-99.11890984,19.42917056;
Consulado;4;5;0;0;4;Martín Carrera;Santa Anita;19.455485;-99.11348104;19.455485,-99.11348104;-99.11348104,19.455485;
Fray Servando;4;0;0;0;8;Martín Carrera;Santa Anita;19.42149092;-99.12033677;19.42149092,-99.12033677;-99.12033677,19.42149092;
Jamaica;4;9;0;0;9;Martín Carrera;Santa Anita;19.40894369;-99.12227869;19.40894369,-99.12227869;-99.12227869,19.40894369;
Martín Carrera;4;6;0;0;1;Martín Carrera;Santa Anita;19.48231101;-99.10554171;19.48231101,-99.10554171;-99.10554171,19.48231101;
Morelos;4;12;0;0;6;Martín Carrera;Santa Anita;19.438426;-99.11933;19.438426,-99.11933;-99.11933,19.438426;
Santa Anita;4;8;0;0;10;Martín Carrera;Santa Anita;19.40397512;-99.12136674;19.40397512,-99.12136674;-99.12136674,19.40397512;
Talismán;4;0;0;0;2;Martín Carrera;Santa Anita;19.47415847;-99.10779476;19.47415847,-99.10779476;-99.10779476,19.47415847;
Aragón;5;0;0;0;9;Politécnico;Pantitlán;19.45101356;-99.09598231;19.45101356,-99.09598231;-99.09598231,19.45101356;
Autobuses del Norte;5;0;0;0;3;Politécnico;Pantitlán;19.478595;-99.140471;19.478595,-99.140471;-99.140471,19.478595;
Consulado;5;4;0;0;7;Politécnico;Pantitlán;19.455485;-99.11348104;19.455485,-99.11348104;-99.11348104,19.455485;
Eduardo Molina;5;0;0;0;8;Politécnico;Pantitlán;19.45112485;-99.10544515;19.45112485,-99.10544515;-99.10544515,19.45112485;
Hangares;5;0;0;0;12;Politécnico;Pantitlán;19.423251;-99.087095;19.423251,-99.087095;-99.087095,19.423251;
Instituto del Petroleo;5;6;0;0;2;Politécnico;Pantitlán;19.49054404;-99.14638638;19.49054404,-99.14638638;-99.14638638,19.49054404;
La Raza;5;3;0;0;4;Politécnico;Pantitlán;19.468965;-99.136176;19.468965,-99.136176;-99.136176,19.468965;
Misterios;5;0;0;0;5;Politécnico;Pantitlán;19.46290002;-99.13051844;19.46290002,-99.13051844;-99.13051844,19.46290002;
Oceanía;5;12;0;0;10;Politécnico;Pantitlán;19.44572255;-99.08683062;19.44572255,-99.08683062;-99.08683062,19.44572255;
Pantitlán;5;1;9;11;13;Politécnico;Pantitlán;19.4146103;-99.07262564;19.4146103,-99.07262564;-99.07262564,19.4146103;
Politécnico;5;0;0;0;1;Politécnico;Pantitlán;19.499964;-99.148806;19.499964,-99.148806;-99.148806,19.499964;
Terminal Aérea;5;0;0;0;11;Politécnico;Pantitlán;19.43380448;-99.08820391;19.43380448,-99.08820391;-99.08820391,19.43380448;
Valle Gómez;5;0;0;0;6;Politécnico;Pantitlán;19.45868169;-99.11988616;19.45868169,-99.11988616;-99.11988616,19.45868169;
Azcapotzalco;6;0;0;0;3;El Rosario;Martín Carrera;19.49067553;-99.18621182;19.49067553,-99.18621182;-99.18621182,19.49067553;
Deportivo 18 de Marzo;6;3;0;0;9;El Rosario;Martín Carrera;19.48358544;-99.12576556;19.48358544,-99.12576556;-99.12576556,19.48358544;
El Rosario;6;7;0;0;1;El Rosario;Martín Carrera;19.5039547;-99.20029879;19.5039547,-99.20029879;-99.20029879,19.5039547;
Ferrería;6;0;0;0;4;El Rosario;Martín Carrera;19.49039233;-99.173702;19.49039233,-99.173702;-99.173702,19.49039233;
